customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8700-FHIE,Male,0,No,No,3,Yes,Fiber optic,No,No,No internet service,Two year,Yes,Mailed check,63.17,172.08,No
9677-ACAA,Female,1,No,No,17,Yes,Fiber optic,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),83.67,1359.07,Yes
3058-EFHC,Female,1,Yes,Yes,54,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Mailed check,92.28,4582.79,No
6905-JBHA,Male,0,No,Yes,48,Yes,No,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),18.0,862.7,No
1064-GFED,Male,0,Yes,No,3,Yes,DSL,No,Yes,No internet service,One year,Yes,Credit card (automatic),28.41,79.5,No
2136-CEBC,Male,0,Yes,No,65,Yes,Fiber optic,No internet service,No,No,Month-to-month,Yes,Mailed check,72.54,4490.53,No
9411-HHAG,Male,0,Yes,No,29,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.25,620.39,No
2626-FAJC,Female,0,Yes,No,22,Yes,DSL,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,47.99,1017.23,No
5959-IHJF,Female,0,No,No,33,Yes,Fiber optic,No,No,No,Two year,No,Credit card (automatic),81.5,2642.65,No
5227-EJBC,Male,1,No,No,28,Yes,DSL,No,Yes,Yes,Two year,Yes,Mailed check,36.4,933.88,No
3504-ICFH,Female,0,No,Yes,36,Yes,No,No,No,No,Two year,Yes,Electronic check,18.43,677.61,No
1612-AIAA,Female,0,No,Yes,11,Yes,Fiber optic,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),60.61,654.68,No
9383-DIGH,Male,0,No,No,10,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,39.45,386.8,Yes
7969-EAFC,Female,0,Yes,No,72,Yes,Fiber optic,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),79.18,5370.69,No
3336-HCFI,Male,1,Yes,No,54,Yes,Fiber optic,No,No,No,Month-to-month,No,Credit card (automatic),61.39,2986.15,Yes
6034-GFJB,Female,0,Yes,No,26,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),70.44,1815.59,No
7041-EJBI,Female,1,No,Yes,62,No,Fiber optic,No,Yes,Yes,One year,Yes,Electronic check,67.82,4085.52,Yes
9356-BIGA,Male,0,No,No,58,Yes,Fiber optic,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),54.08,3010.74,No
8926-GCBB,Male,1,No,Yes,50,Yes,DSL,Yes,No,No internet service,Two year,Yes,Credit card (automatic),68.97,3385.31,No
9321-DFED,Female,0,Yes,No,52,Yes,DSL,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.76,2341.98,Yes
3944-EFBD,Male,0,Yes,Yes,69,Yes,Fiber optic,No internet service,No internet service,No,Month-to-month,No,Mailed check,106.96,7247.55,No
5315-FJGJ,Female,0,No,No,60,No,DSL,No,Yes,Yes,One year,Yes,Mailed check,50.35,2914.45,No
7944-GDHJ,Female,0,Yes,No,18,Yes,Fiber optic,Yes,Yes,Yes,One year,Yes,Electronic check,84.92,1602.95,No
5453-BAEB,Female,0,No,No,53,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),20.29,1062.67,No
8224-HDHD,Female,0,Yes,Yes,11,Yes,Fiber optic,No,No,Yes,One year,No,Electronic check,73.64,762.15,No
4051-IGFC,Male,0,Yes,Yes,36,Yes,DSL,No internet service,Yes,No internet service,One year,Yes,Electronic check,44.96,1511.41,No
1285-AEGB,Male,0,No,No,4,Yes,No,No internet service,No,No,Month-to-month,No,Electronic check,18.0,69.92,Yes
5952-EHAA,Male,0,No,Yes,12,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No,Mailed check,90.0,993.49,No
9342-HDIF,Male,0,No,Yes,52,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),18.0,846.4,No
2965-HCCE,Male,0,No,No,27,Yes,DSL,Yes,No,No,Month-to-month,Yes,Credit card (automatic),67.55,1794.42,No
1185-DCFH,Female,0,Yes,Yes,11,Yes,DSL,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),75.08,793.96,No
1418-BGJE,Male,0,No,Yes,71,Yes,DSL,No,No,Yes,Month-to-month,Yes,Electronic check,42.09,3052.96,No
5164-JBDD,Female,0,No,No,68,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Electronic check,59.84,3665.35,Yes
9682-HEDE,Female,0,No,No,16,Yes,No,No internet service,No,Yes,Two year,Yes,Mailed check,18.0,290.08,No
7215-GHDE,Female,0,No,No,43,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),47.06,2037.94,No
5601-AFEI,Female,0,Yes,No,21,Yes,DSL,Yes,No,Yes,Two year,Yes,Credit card (automatic),54.13,1165.6,No
4955-IIDA,Male,1,Yes,No,58,Yes,DSL,No,Yes,No internet service,Two year,Yes,Electronic check,65.52,3884.17,No
3005-IGHF,Female,0,No,No,50,Yes,Fiber optic,No,Yes,No internet service,Month-to-month,Yes,Electronic check,58.62,3065.21,Yes
1946-JEDE,Male,0,No,No,31,Yes,DSL,No,Yes,No,Two year,Yes,Credit card (automatic),55.62,1585.02,Yes
9406-HDHA,Male,0,Yes,Yes,67,Yes,DSL,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),47.27,3010.16,No
7421-DCGH,Female,0,Yes,No,53,Yes,Fiber optic,No,No,No,Two year,Yes,Mailed check,67.34,3723.72,No
3002-JBGJ,Male,0,No,No,11,Yes,DSL,Yes,No,No,One year,No,Electronic check,49.75,560.7,Yes
6137-EIDD,Male,0,No,No,32,Yes,Fiber optic,No,No,No internet service,Month-to-month,No,Electronic check,73.97,2418.12,Yes
4143-AEEG,Male,0,No,No,60,Yes,Fiber optic,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,62.33,3685.12,Yes
4538-DCAG,Female,0,Yes,No,39,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.12,2850.88,No
3903-GFJB,Male,0,No,No,7,Yes,DSL,No,No,No internet service,One year,Yes,Bank transfer (automatic),42.77,288.9,Yes
9586-IADH,Male,0,No,No,56,No,Fiber optic,No internet service,Yes,Yes,Month-to-month,No,Mailed check,71.52,3811.43,Yes
5189-HHEC,Male,1,No,No,35,Yes,DSL,No,Yes,Yes,One year,Yes,Bank transfer (automatic),38.96,1429.22,Yes
1186-JIHF,Female,1,Yes,No,17,Yes,No,No,No,Yes,Two year,Yes,Electronic check,30.89,499.58,No
8273-BFCD,Male,1,No,No,59,Yes,DSL,Yes,No,No,Month-to-month,No,Electronic check,45.8,2798.5,No
6612-BAAH,Male,1,No,No,64,No,Fiber optic,No internet service,Yes,Yes,Two year,No,Electronic check,54.99,3370.54,No
1846-EEAH,Male,0,No,No,42,Yes,DSL,No,Yes,No internet service,Month-to-month,No,Electronic check,47.41,2009.26,No
5009-JCJI,Female,0,No,Yes,52,Yes,DSL,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),49.1,2483.83,Yes
5440-CCIE,Female,0,No,Yes,17,Yes,Fiber optic,No internet service,Yes,No,Two year,No,Electronic check,64.11,1077.82,Yes
7667-JBFB,Female,0,Yes,No,54,No,Fiber optic,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,50.64,2831.42,Yes
7502-HAEA,Male,0,No,Yes,66,Yes,DSL,No internet service,No,No,Month-to-month,No,Credit card (automatic),48.43,3222.97,No
8107-IIFJ,Male,1,No,Yes,17,Yes,DSL,No internet service,No,No,Two year,Yes,Mailed check,51.94,900.75,No
2513-CDAG,Female,0,Yes,Yes,68,Yes,Fiber optic,No internet service,No internet service,Yes,Two year,No,Electronic check,75.06,4939.86,No
1320-AHDG,Female,0,Yes,No,6,Yes,Fiber optic,No,No internet service,Yes,Two year,No,Electronic check,82.15,451.1,No
2499-JAGD,Female,0,No,No,32,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,26.0,863.73,Yes
4489-BADA,Male,0,Yes,No,5,Yes,DSL,Yes,Yes,No internet service,Month-to-month,No,Electronic check,53.94,282.26,Yes
2067-DEHB,Male,0,No,No,32,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),26.82,809.17,No
5356-DDIA,Female,0,Yes,No,47,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Mailed check,63.19,3062.07,No
3415-GEGE,Female,0,Yes,No,63,Yes,DSL,No internet service,No,No,Two year,Yes,Electronic check,61.2,3793.08,No
7330-EDCC,Male,0,Yes,No,10,No,DSL,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),49.07,468.13,No
9381-HEEC,Female,1,No,No,64,Yes,No,No,No,No,One year,Yes,Electronic check,18.0,1041.26,No
5368-ABGC,Female,0,No,No,72,Yes,DSL,No internet service,No,No,Month-to-month,Yes,Mailed check,35.03,2572.84,No
2274-EEEC,Male,0,Yes,No,4,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.3,231.71,Yes
1221-BGEJ,Female,0,Yes,Yes,70,Yes,DSL,No,No internet service,No internet service,Month-to-month,No,Electronic check,54.04,3522.4,No
7615-ACEH,Male,0,Yes,Yes,66,Yes,Fiber optic,No internet service,No,No,Month-to-month,Yes,Mailed check,78.92,4693.33,No
7423-CJCI,Male,0,No,No,2,Yes,Fiber optic,No internet service,No,No,Month-to-month,Yes,Electronic check,53.38,101.31,Yes
9936-AEDI,Female,1,No,No,4,No,Fiber optic,No internet service,No,No,Two year,Yes,Electronic check,78.62,326.09,No
6064-BEFH,Female,0,No,No,52,Yes,No,No,Yes,No,One year,Yes,Mailed check,18.0,964.19,No
6230-IHBH,Male,0,Yes,Yes,30,Yes,DSL,No,No,Yes,One year,Yes,Credit card (automatic),39.24,1136.91,No
8203-CAGI,Female,0,No,No,19,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Mailed check,64.45,1252.18,Yes
7238-HGHC,Male,0,Yes,No,29,No,No,No,No,No internet service,One year,No,Electronic check,18.0,492.72,No
7561-HFGE,Female,0,Yes,No,24,No,DSL,No internet service,Yes,No internet service,One year,Yes,Electronic check,53.95,1277.03,No
1372-AFEA,Male,0,Yes,No,71,No,Fiber optic,No,No,Yes,Month-to-month,No,Mailed check,64.77,4602.07,Yes
6902-AABB,Female,1,Yes,No,17,Yes,DSL,No internet service,No,Yes,One year,Yes,Electronic check,49.01,763.92,No
7412-AEAG,Female,0,Yes,No,6,Yes,Fiber optic,No,No,Yes,Two year,Yes,Electronic check,64.39,356.74,Yes
5708-JBJG,Female,0,No,No,60,Yes,DSL,No,No,No internet service,Two year,No,Mailed check,48.48,2654.29,No
8207-GCHH,Female,0,Yes,No,61,Yes,DSL,No,Yes,No internet service,Two year,No,Credit card (automatic),36.36,2327.49,No
7828-DHBJ,Male,0,No,No,65,Yes,DSL,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),25.89,1612.73,No
7577-FIFH,Female,1,No,No,70,Yes,DSL,No,No,No,Month-to-month,Yes,Electronic check,81.91,5432.19,No
9659-DBHG,Male,0,No,Yes,2,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),50.44,96.02,No
2322-HGJB,Female,0,No,No,56,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,55.41,3243.24,No
4051-AEAG,Female,0,No,No,19,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),19.09,327.82,No
9729-DABE,Male,0,Yes,Yes,30,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),69.63,2170.63,Yes
1517-HCFJ,Female,0,Yes,No,32,Yes,DSL,No,Yes,No,One year,Yes,Bank transfer (automatic),46.46,1466.04,No
1837-EBDB,Female,0,No,No,71,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.71,1859.87,No
9613-CGIF,Male,0,No,Yes,38,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),21.14,764.71,No
6056-GDFD,Male,0,No,No,16,Yes,No,No,No,Yes,Two year,Yes,Mailed check,18.0,260.44,No
9084-GEIF,Male,0,No,Yes,6,Yes,Fiber optic,No,No,No,Month-to-month,No,Bank transfer (automatic),57.26,352.86,Yes
5085-CHCI,Male,0,No,No,42,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Mailed check,35.35,1453.5,No
6374-DAEH,Male,0,No,No,60,Yes,No,No,No,Yes,One year,No,Electronic check,21.21,1146.32,No
7525-FIFD,Female,0,No,No,51,No,Fiber optic,No,Yes,No,Month-to-month,No,Mailed check,71.75,3679.49,No
1150-HAHF,Female,0,No,No,68,Yes,Fiber optic,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,71.19,4664.1,No
2512-EGDJ,Male,0,No,Yes,3,No,DSL,No,Yes,Yes,Two year,Yes,Electronic check,41.26,118.72,No
1469-DEEJ,Female,0,No,No,29,Yes,DSL,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,35.31,931.03,Yes
3699-AHJA,Female,0,No,Yes,44,Yes,No,No internet service,No internet service,No,One year,No,Mailed check,33.51,1475.77,No
7615-JFFG,Male,0,No,No,62,No,Fiber optic,No,Yes,No,Two year,Yes,Electronic check,72.27,4468.26,No
4499-JCFG,Female,1,Yes,No,22,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No,Electronic check,76.77,1765.46,No
1676-DJII,Female,0,Yes,Yes,49,Yes,DSL,No,No,No,One year,No,Mailed check,61.29,2751.55,No
7405-GDDJ,Female,0,No,No,15,Yes,Fiber optic,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),45.23,706.81,Yes
4019-JACB,Female,0,Yes,No,43,Yes,DSL,Yes,No,No internet service,Month-to-month,No,Mailed check,50.54,2111.79,No
2484-DFDG,Female,0,Yes,No,56,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),33.21,1688.76,No
9961-DHFJ,Male,0,No,Yes,59,Yes,Fiber optic,Yes,No internet service,No,One year,No,Mailed check,54.97,3286.42,No
3899-BFCI,Female,0,No,No,32,Yes,Fiber optic,No,No,Yes,One year,Yes,Electronic check,56.21,1730.36,Yes
2483-AHEC,Female,0,No,Yes,34,Yes,DSL,Yes,No,No,Two year,Yes,Electronic check,35.96,1116.89,No
1967-GFFC,Male,0,No,No,64,Yes,Fiber optic,Yes,No,Yes,One year,Yes,Mailed check,51.41,3023.71,No
5963-IAJE,Female,1,Yes,No,39,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Credit card (automatic),76.66,3122.79,Yes
4060-DEGC,Male,0,Yes,No,25,Yes,No,Yes,No internet service,Yes,Two year,Yes,Electronic check,21.99,548.72,No
7508-BHCB,Male,0,No,No,20,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,18.0,375.45,Yes
9178-JFJI,Male,1,Yes,No,51,Yes,Fiber optic,No,No,Yes,One year,Yes,Bank transfer (automatic),47.67,2471.09,No
6886-BCHJ,Female,1,No,No,51,No,Fiber optic,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),59.37,3009.44,No
4531-EEEI,Male,0,No,No,39,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),32.53,1164.4,No
1311-AFEB,Male,0,No,No,11,Yes,Fiber optic,No,No,No internet service,Two year,No,Electronic check,55.47,590.36,No
8231-BBBG,Male,0,No,No,11,No,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),48.5,499.41,Yes
5646-JHDB,Female,0,No,No,17,Yes,DSL,No,Yes,No,Month-to-month,Yes,Mailed check,47.54,746.75,No
1348-CJDB,Female,0,No,Yes,0,Yes,Fiber optic,Yes,No internet service,No,Month-to-month,Yes,Electronic check,54.54,26.56,Yes
2212-GIGA,Male,0,Yes,No,35,Yes,DSL,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),69.26,2295.62,No
8588-FGJD,Male,0,No,No,30,Yes,DSL,No,No,Yes,Month-to-month,Yes,Credit card (automatic),50.65,1584.83,No
2925-BEGJ,Female,0,Yes,No,28,Yes,DSL,No,No,No,One year,Yes,Credit card (automatic),44.24,1120.25,Yes
6714-FCHC,Male,0,No,No,68,Yes,Fiber optic,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,64.42,3961.15,No
8932-HBJE,Female,0,Yes,Yes,17,No,DSL,No,Yes,No,Month-to-month,Yes,Credit card (automatic),41.62,703.03,No
9443-HIJB,Male,0,No,Yes,59,No,No,Yes,Yes,No,Two year,Yes,Electronic check,18.0,970.62,No
2614-HGFI,Female,0,No,No,14,Yes,Fiber optic,No,Yes,Yes,One year,No,Credit card (automatic),97.72,1344.96,No
5783-DBHB,Male,1,Yes,No,44,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.25,2710.29,No
9283-CIBG,Male,0,No,No,62,Yes,Fiber optic,Yes,Yes,No internet service,Two year,No,Mailed check,66.09,3764.91,No
4578-GJJJ,Female,0,Yes,No,61,No,DSL,No,No,Yes,Two year,Yes,Electronic check,51.29,2848.85,No
6688-IGFF,Male,0,Yes,Yes,43,Yes,DSL,No internet service,No,No,Two year,Yes,Bank transfer (automatic),39.7,1780.05,No
6830-AJJF,Female,0,Yes,No,15,Yes,DSL,No internet service,No,No internet service,Month-to-month,No,Mailed check,60.71,937.04,No
6189-AEFC,Female,0,Yes,No,27,No,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,455.38,Yes
1048-JIAI,Female,0,No,No,30,No,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),61.35,1789.63,No
5225-FHBG,Female,0,No,Yes,61,Yes,DSL,No,Yes,Yes,Two year,Yes,Credit card (automatic),35.3,1987.85,No
5349-EIIH,Female,0,No,No,27,Yes,Fiber optic,Yes,No,Yes,Two year,No,Electronic check,78.78,2181.88,No
2229-CFAE,Male,0,No,No,60,Yes,DSL,No,Yes,No,One year,Yes,Bank transfer (automatic),47.78,2662.76,No
7857-EFBC,Male,0,No,No,69,Yes,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),46.75,3304.82,No
8216-GCEC,Male,0,No,No,8,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,18.0,134.95,Yes
8460-BDEJ,Female,1,No,Yes,68,Yes,DSL,No,Yes,No,One year,Yes,Electronic check,47.33,2949.77,No
6980-HCII,Male,0,Yes,No,41,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),65.15,2489.48,No
6708-CJHI,Male,0,No,Yes,43,No,Fiber optic,No,Yes,Yes,Month-to-month,No,Electronic check,70.72,2983.45,Yes
8194-ACJB,Male,0,No,No,22,No,Fiber optic,No,Yes,Yes,One year,No,Electronic check,66.78,1517.29,Yes
4107-DGDF,Male,0,Yes,No,24,Yes,No,No,No internet service,Yes,One year,No,Electronic check,18.0,391.3,No
6030-FBDD,Male,0,Yes,Yes,39,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Electronic check,39.76,1428.87,No
3932-DDGG,Male,0,Yes,No,14,Yes,DSL,Yes,No,Yes,One year,Yes,Mailed check,37.37,514.27,Yes
1653-IFEE,Female,0,Yes,Yes,52,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,18.0,855.15,No
8680-FBCI,Female,0,No,No,48,Yes,DSL,Yes,No,No internet service,Month-to-month,Yes,Mailed check,71.41,3263.62,No
1185-BBHH,Female,0,Yes,Yes,0,No,DSL,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),41.39,19.79,Yes
5808-DABH,Male,0,No,No,15,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),24.97,364.5,No
4981-JHHI,Female,0,No,No,37,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Mailed check,54.91,2047.43,Yes
3480-BIAJ,Male,0,Yes,Yes,54,Yes,DSL,No,No,No internet service,Month-to-month,No,Electronic check,42.44,2147.21,No
1019-FHHB,Female,1,No,No,21,Yes,DSL,Yes,No,No,Month-to-month,No,Mailed check,43.12,859.48,No
7250-GABB,Female,0,No,Yes,64,Yes,DSL,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),53.4,3297.71,No
7006-EJDF,Female,0,No,No,38,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),65.25,2377.46,No
9928-CBEJ,Male,0,No,Yes,39,No,No,No internet service,No internet service,Yes,One year,No,Credit card (automatic),18.0,707.24,No
7591-GHIA,Male,0,No,No,8,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,Yes,Mailed check,42.33,307.1,No
1433-HDCC,Female,0,Yes,Yes,45,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,Yes,Electronic check,93.75,3890.53,No
9659-JIJA,Male,0,Yes,Yes,59,Yes,Fiber optic,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),60.7,3297.38,Yes
7637-JFIB,Male,0,Yes,Yes,15,Yes,DSL,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),42.26,621.43,Yes
9585-GCGB,Male,0,Yes,No,39,Yes,Fiber optic,No,No internet service,Yes,One year,Yes,Credit card (automatic),59.98,2135.12,No
9593-BCBH,Male,0,No,No,0,Yes,DSL,No,No,Yes,Two year,No,Credit card (automatic),63.78,29.06,No
2381-CJJE,Male,1,Yes,No,15,Yes,DSL,No internet service,No,No,Month-to-month,Yes,Electronic check,38.98,594.75,Yes
9482-EDBE,Male,0,No,No,5,Yes,DSL,No,No internet service,No,Month-to-month,No,Credit card (automatic),41.1,215.17,Yes
6934-FFBD,Female,1,Yes,Yes,56,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,19.43,985.2,No
3692-IGBE,Female,0,No,No,72,Yes,DSL,Yes,Yes,No,Month-to-month,No,Electronic check,61.56,4103.35,Yes
1536-GAHE,Female,1,No,No,2,Yes,Fiber optic,Yes,No,No,Two year,No,Bank transfer (automatic),66.78,130.4,No
3584-JHJH,Male,0,No,No,51,Yes,No,Yes,No,No,One year,Yes,Electronic check,18.0,950.14,No
9770-CDAD,Female,0,No,No,43,Yes,Fiber optic,Yes,No,Yes,One year,No,Mailed check,65.57,2750.78,Yes
8751-DIHA,Male,0,Yes,No,51,Yes,DSL,Yes,Yes,No internet service,Two year,No,Electronic check,41.33,2017.04,No
9009-CDDH,Male,1,No,Yes,36,No,Fiber optic,Yes,Yes,No internet service,One year,Yes,Electronic check,89.17,3293.23,No
9374-BADJ,Male,0,Yes,No,72,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,No,Electronic check,57.24,4185.52,Yes
3157-CEEA,Male,0,No,Yes,2,Yes,Fiber optic,No internet service,No,No,One year,No,Mailed check,71.78,146.43,Yes
1026-IBHC,Female,0,No,No,10,Yes,DSL,No,Yes,No internet service,One year,Yes,Electronic check,40.23,376.2,No
8734-JFJI,Male,1,Yes,Yes,18,Yes,Fiber optic,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,74.16,1331.6,No
3307-FIGB,Female,0,Yes,No,57,Yes,Fiber optic,No,No,No,One year,Yes,Bank transfer (automatic),66.3,3505.01,No
8099-EGFJ,Male,0,Yes,No,5,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,69.93,338.62,Yes
2361-DGDE,Female,0,No,No,9,Yes,DSL,No,Yes,No,Month-to-month,No,Credit card (automatic),48.06,443.72,Yes
8235-JICH,Male,1,No,No,53,Yes,No,No,Yes,Yes,One year,No,Electronic check,18.0,972.41,Yes
9547-GDEJ,Male,0,Yes,No,30,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),18.0,530.97,No
5085-FJEF,Female,0,Yes,No,51,Yes,DSL,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),25.16,1303.05,No
